movie_name	ranking	review	score
			
告白	98	没有一人完全善，也没有一人完全恶。	8.7
			
一一	99	我们都曾经是一一。	8.9
			
甜蜜蜜	100	相逢只要一瞬间，等待却像是一辈子。	8.8
			
摩登时代	101	大时代中的人生，小人物的悲喜。	9.2
			
射雕英雄传之东成西就	102	百看不厌。 	8.7
			
阳光姐妹淘	103	再多各自牛逼的时光，也比不上一起傻逼的岁月。 	8.8
			
爱在黎明破晓前	104	缘分是个连绵词，最美不过一瞬。	8.7
			
消失的爱人	105	年度最佳date movie。	8.7
			
上帝之城	106	被上帝抛弃了的上帝之城。	8.9
			
侧耳倾听	107	少女情怀总是诗。	8.8
			
爱在日落黄昏时	108	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。	8.8
			
风之谷	109	动画片的圣经。	8.8
			
超脱	110	穷尽一生，我们要学会的，不过是彼此拥抱。	8.8
			
小森林 夏秋篇	111	那些静得只能听见呼吸的日子里，你明白孤独即生活。	8.9
			
倩女幽魂	112	两张绝世的脸。 	8.6
			
恐怖直播	113	恐怖分子的“秋菊打官司”。	8.7
			
喜剧之王	114	我是一个演员。	8.6
			
红辣椒	115	梦的勾结。	8.9
			
菊次郎的夏天	116	从没见过那么流氓的温柔，从没见过那么温柔的流氓。	8.7
			
驯龙高手	117	和谐的生活离不开摸头与被摸头。	8.7
			
幸福终点站	118	有时候幸福需要等一等。 	8.7
			
神偷奶爸	119	Mr. I Don't Care其实也有Care的时候。	8.5
			
借东西的小人阿莉埃蒂	120	曾经的那段美好会沉淀为一辈子的记忆。	8.7
			
岁月神偷	121	岁月流逝，来日可追。	8.6
			
杀人回忆	122	关于连环杀人悬案的集体回忆。	8.7
			
七武士	123	时代悲歌。	9.2
			
萤火虫之墓	124	幸福是生生不息，却难以触及的远。 	8.7
			
怪兽电力公司	125	不要给它起名字，起了名字就有感情了。	8.6
			
谍影重重3	126	像吃了苏打饼一样干脆的电影。	8.7
			
喜宴	127	中国家庭的喜怒哀乐忍。	8.8
			
贫民窟的百万富翁	128	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁	8.5
			
电锯惊魂	129	真相就在眼前。	8.7
			
东邪西毒	130	电影诗。	8.6
			
小森林 冬春篇	131	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。	9
			
真爱至上	132	爱，是个动词。	8.5
			
记忆碎片	133	一个针管引发的血案。	8.6
			
请以你的名字呼唤我	134	沉醉在电影的情感和视听氛围中无法自拔。	8.8
			
黑天鹅	135	黑暗之美。	8.5
			
疯狂原始人	136	老少皆宜，这就是好莱坞动画的魅力。	8.7
			
哈利·波特与死亡圣器(下)	137	10年的完美句点。	8.7
			
萤火之森	138	触不到的恋人。	8.8
			
雨人	139	生活在自己的世界里，也可以让周围的人显得可笑和渺小。	8.6
			
7号房的礼物	140	《我是山姆》的《美丽人生》。	8.7
			
英雄本色	141	英雄泪短，兄弟情长。 	8.6
			
海洋	142	大海啊，不全是水。	9
			
卢旺达饭店	143	当这个世界闭上双眼，他却敞开了怀抱。	8.9
			
心迷宫	144	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。	8.7
			
超能陆战队	145	Balalala~~~	8.6
			
荒蛮故事	146	始于荒诞，止于更荒诞。	8.8
			
唐伯虎点秋香	147	华太师是黄霑，吴镇宇四大才子之一。	8.5
			
蝙蝠侠：黑暗骑士崛起	148	诺兰就是保证。	8.6
			
傲慢与偏见	149	爱是摈弃傲慢与偏见之后的曙光。	8.5
			
海边的曼彻斯特	150	我们都有权利不与自己的过去和解。	8.6
			
虎口脱险	151	永远看不腻的喜剧。	8.9
			
燃情岁月	152	传奇，不是每个人都可以拥有。	8.7
			
教父3	153	任何信念的力量，都无法改变命运。	8.8
			
纵横四海	154	香港浪漫主义警匪动作片的巅峰之作。	8.7
			
时空恋旅人	155	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。	8.6
			
玩具总动员3	156	跨度十五年的欢乐与泪水。	8.8
			
花样年华	157	偷情本没有这样美。	8.5
			
恋恋笔记本	158	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 	8.5
			
完美的世界	159	坏人的好总是比好人的好来得更感人。	9
			
无人知晓	160	我的平常生活就是他人的幸福。	9.1
			
达拉斯买家俱乐部	161	Jared Leto的腿比女人还美！	8.7
			
二十二	162	有一些东西不应该被遗忘。	8.7
			
雨中曲	163	骨灰级歌舞片。	9
			
魂断蓝桥	164	中国式内在的美国电影。	8.8
			
猜火车	165	不可猜的青春迷笛。 	8.5
			
穿越时空的少女	166	爱上未来的你。 	8.6
			
血战钢锯岭	167	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。	8.7
			
我是山姆	168	爱并不需要智商 。	8.8
			
冰川时代	169	松鼠才是角儿。	8.5
			
人工智能	170	对爱的执着，可以超越一切。	8.6
			
爆裂鼓手	171	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。	8.6
			
浪潮	172	世界离独裁只有五天。	8.7
			
未麻的部屋	173	好的剧本是，就算你猜到了结局也猜不到全部。	8.8
			
罗生门	174	人生的N种可能性。	8.7
			
朗读者	175	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 	8.5
			
香水	176	一个单凭体香达到高潮的男人。	8.4
			
被解救的姜戈	177	热血沸腾，那个低俗、性感的无耻混蛋又来了。	8.6
			
头脑特工队	178	愿我们都不用长大，每一座城堡都能永远存在。	8.7
			
阿飞正传	179	王家卫是一种风格，张国荣是一个代表。	8.5
			
可可西里	180	坚硬的信仰。	8.7
			
你的名字。	181	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。	8.4
			
恐怖游轮	182	不要企图在重复中寻找已经失去的爱。	8.4
			
房间	183	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。	8.8
			
一次别离	184	只有有信仰的人才能说出事实真相。	8.7
			
战争之王	185	做一颗让别人需要你的棋子。	8.6
			
追随	186	诺兰的牛逼来源于内心散发出的恐惧。	8.9
			
撞车	187	天使与魔鬼的冲撞。	8.6
			
模仿游戏	188	他给机器起名“克里斯托弗”，因为这是他初恋的名字。	8.6
			
一个叫欧维的男人决定去死	189	惠及一生的美丽。	8.8
			
地球上的星星	190	天使保护事件始末。	8.8
			
忠犬八公物语	191	养狗三日，便会对你终其一生。	9
			
魔女宅急便	192	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。	8.5
			
完美陌生人	193	来啊，互相伤害啊！	8.6
			
谍影重重	194	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。	8.5
			
谍影重重2	195	谁说王家卫镜头很晃？	8.6
			
牯岭街少年杀人事件	196	弱者送给弱者的一刀。	8.8
			
哪吒闹海	197	想你时你在闹海。	8.9
			
梦之安魂曲	198	一场没有春天的噩梦。	8.7
			
青蛇	199	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。	8.5
			
惊魂记	200	故事的反转与反转，分裂电影的始祖。	8.9
			
小萝莉的猴神大叔	201	宝莱坞的萝莉与大叔。	8.5
			
黑客帝国3：矩阵革命	202	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。	8.6
			
再次出发之纽约遇见你	203	爱我就给我看你的播放列表。	8.5
			
东京物语	204	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。	9.2
			
新龙门客栈	205	嬉笑怒骂，调风动月。	8.5
			
海街日记	206	是枝裕和的家庭习作。	8.7
			
步履不停	207	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。	8.8
			
源代码	208	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。	8.4
			
终结者2：审判日	209	少见的超越首部的续集，动作片中的经典。	8.6
			
绿里奇迹	210	天使暂时离开。	8.7
			
末路狂花	211	没有了退路，只好飞向自由。	8.7
			
秒速5厘米	212	青春就是放弃和怀念。	8.3
			
初恋这件小事	213	黑小鸭速效美白记。	8.3
			
无敌破坏王	214	迪士尼和皮克斯拿错剧本的产物。	8.7
			
城市之光	215	永远的小人物，伟大的卓别林。	9.2
			
爱在午夜降临前	216	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。	8.8
			
无耻混蛋	217	昆汀同学越来越变态了，比北野武还杜琪峰。	8.5
			
碧海蓝天	218	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。	8.7
			
这个男人来自地球	219	科幻真正的魅力不是视觉效果能取代的。 	8.5
			
勇闯夺命岛	220	类型片的极致。 	8.6
			
疯狂的石头	221	中国版《两杆大烟枪》。	8.3
			
E.T. 外星人	222	生病的E.T.皮肤的颜色就像柿子饼。	8.5
			
变脸	223	当发哥的风衣、墨镜出现在了凯奇身上??	8.4
			
卡萨布兰卡	224	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。	8.6
			
海盗电台	225	生命不止，摇滚不死。	8.6
			
发条橙	226	我完全康复了。	8.5
			
黄金三镖客	227	最棒的西部片。	9.1
			
彗星来的那一夜	228	小成本大魅力。	8.4
			
美国丽人	229	每个人的内心都是深不可测的大海。 	8.5
			
聚焦	230	新闻人的理性求真。	8.8
			
血钻	231	每个美丽事物背后都是滴血的现实。	8.5
			
荒野生存	232	出门必备：本草纲目。	8.6
			
国王的演讲	233	皇上无话儿。	8.3
			
英国病人	234	"In memory, love lives forever..."	8.5
			
非常嫌疑犯	235	我不信仰上帝，但我敬畏上帝。	8.6
			
迁徙的鸟	236	最美的飞翔。	9.1
			
黑鹰坠落	237	还原真实而残酷的战争。	8.6
			
勇士	238	热血沸腾，相当完美的娱乐拳击大餐。	8.9
			
遗愿清单	239	用剩余不多的时间，去燃烧整个生命。	8.5
			
我爱你	240	你要相信，这世上真的有爱存在，不管在什么年纪 	9
			
燕尾蝶	241	现实与童话交相辉映的旅程。	8.6
			
荒岛余生	242	一个人的独角戏。	8.5
			
枪火	243	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。	8.6
			
穆赫兰道	244	大卫·林奇的梦境迷宫。	8.3
			
叫我第一名	245	乐观比一切都有力量。	8.6
			
2001太空漫游	246	现代科幻电影的开山之作，最伟大导演的最伟大影片。	8.7
			
千钧一发	247	一部能引人思考的科幻励志片。	8.7
			
上帝也疯狂	248	纯净原始的笑与感动。	8.7
			
大卫·戈尔的一生	249	捍卫人权只是信仰，一点不妨碍其行为的残忍。	8.6
			
蓝色大门	250	青春的窃窃私语。 	8.3
